,symbol,splits
44,GSAT,[]
45,TRXC,"[{'ticker': 'TRXC', 'exDate': '2019-12-12', 'paymentDate': '2019-12-12', 'declaredDate': '2019-12-12', 'ratio': 13, 'tofactor': 13, 'forfactor': 1}, {'ticker': 'TRXC', 'exDate': '1999-01-05', 'paymentDate': '1999-01-05', 'ratio': 10}]"
46,CEI,"[{'ticker': 'CEI', 'exDate': '2019-10-29', 'paymentDate': '2019-10-29', 'declaredDate': '2019-10-29', 'ratio': 50, 'tofactor': 50, 'forfactor': 1}, {'ticker': 'CEI', 'exDate': '2019-07-08', 'paymentDate': '2019-07-08', 'declaredDate': '2019-07-08', 'ratio': 25, 'tofactor': 25, 'forfactor': 1}, {'ticker': 'CEI', 'exDate': '2018-12-24', 'paymentDate': '2018-12-24', 'declaredDate': '2018-12-24', 'ratio': 25, 'tofactor': 25, 'forfactor': 1}, {'ticker': 'CEI', 'exDate': '2018-03-05', 'paymentDate': '2018-03-05', 'declaredDate': '2018-03-05', 'ratio': 25, 'tofactor': 25, 'forfactor': 1}, {'ticker': 'CEI', 'exDate': '2008-02-04', 'paymentDate': '2008-02-04', 'ratio': 4}]"
47,BIOL,"[{'ticker': 'BIOL', 'exDate': '2018-05-11', 'paymentDate': '2018-05-11', 'declaredDate': '2018-05-11', 'ratio': 5, 'tofactor': 5, 'forfactor': 1}, {'ticker': 'BIOL', 'exDate': '2014-03-12', 'paymentDate': '2014-03-28', 'ratio': 0.9950248756218906, 'tofactor': 100, 'forfactor': 100.5}, {'ticker': 'BIOL', 'exDate': '2013-12-12', 'paymentDate': '2013-12-12', 'ratio': 0.9950248756218907}, {'ticker': 'BIOL', 'exDate': '2013-08-23', 'paymentDate': '2013-08-23', 'ratio': 0.9950248756218907}, {'ticker': 'BIOL', 'exDate': '2013-06-12', 'paymentDate': '2013-06-12', 'ratio': 0.9950248756218907}, {'ticker': 'BIOL', 'exDate': '2013-03-13', 'paymentDate': '2013-03-13', 'ratio': 0.9950248756218907}, {'ticker': 'BIOL', 'exDate': '2012-12-12', 'paymentDate': '2012-12-12', 'ratio': 0.9950248756218907}, {'ticker': 'BIOL', 'exDate': '2012-09-12', 'paymentDate': '2012-09-12', 'ratio': 0.9950248756218907}, {'ticker': 'BIOL', 'exDate': '2012-06-06', 'paymentDate': '2012-06-06', 'ratio': 0.9950248756218907}, {'ticker': 'BIOL', 'exDate': '2012-03-13', 'paymentDate': '2012-03-13', 'ratio': 0.9950248756218907}, {'ticker': 'BIOL', 'exDate': '2011-11-22', 'paymentDate': '2011-11-22', 'ratio': 0.9900990099009901}, {'ticker': 'BIOL', 'exDate': '2011-08-25', 'paymentDate': '2011-08-25', 'ratio': 0.9900990099009901}, {'ticker': 'BIOL', 'exDate': '2011-06-08', 'paymentDate': '2011-06-08', 'ratio': 0.9900990099009901}, {'ticker': 'BIOL', 'exDate': '2011-03-10', 'paymentDate': '2011-03-10', 'ratio': 0.99009900990099}]"
48,ADMP,"[{'ticker': 'ADMP', 'exDate': '2013-12-13', 'paymentDate': '2013-12-13', 'ratio': 17.001020061203672}, {'ticker': 'ADMP', 'exDate': '2009-04-22', 'paymentDate': '2009-04-22', 'ratio': 9.928514694201747}]"
49,LLNW,[]
50,KXIN,[]
51,CDEV,[]
52,SHIP,"[{'ticker': 'SHIP', 'exDate': '2020-06-30', 'paymentDate': '2020-06-30', 'declaredDate': '2020-06-30', 'ratio': 16, 'tofactor': 16, 'forfactor': 1}, {'ticker': 'SHIP', 'exDate': '2019-03-20', 'paymentDate': '2019-03-20', 'declaredDate': '2019-03-20', 'ratio': 15, 'tofactor': 15, 'forfactor': 1}, {'ticker': 'SHIP', 'exDate': '2016-01-08', 'paymentDate': '2016-01-08', 'declaredDate': '2016-01-08', 'ratio': 5, 'tofactor': 5, 'forfactor': 1}, {'ticker': 'SHIP', 'exDate': '2011-06-27', 'paymentDate': '2011-06-27', 'ratio': 14.999250037498127}]"
53,NXTD,"[{'ticker': 'NXTD', 'exDate': '2016-09-12', 'paymentDate': '2016-09-12', 'declaredDate': '2016-09-12', 'ratio': 10, 'tofactor': 10, 'forfactor': 1}]"
