symbol,sector,industry,trades,p_lvl,adv_lvl
JRVR,Financial Services,InsuranceÑSpecialty,6,2,0
SRI,Consumer Cyclical,Auto Parts,6,2,0
DRVN,Consumer Cyclical,Auto & Truck Dealerships,6,2,1
MPAA,Consumer Cyclical,Auto Parts,6,2,0
PSF,Financial Services,Asset Management,6,2,0
MMI,Real Estate,Real Estate Services,6,2,0
XOMA,Healthcare,Biotechnology,6,2,0
BUSE,Financial Services,BanksÑRegional,6,2,0
MCB,Financial Services,BanksÑRegional,6,2,0
YMAB,Healthcare,Biotechnology,6,2,0
BMRC,Financial Services,BanksÑRegional,6,2,0
FPF,Financial Services,Asset Management,6,2,0
GBLI,Financial Services,InsuranceÑProperty & Casualty,6,2,0
ATR,Consumer Cyclical,Packaging & Containers,6,3,0
DCI,Industrials,Specialty Industrial Machinery,6,3,0
LSTR,Industrials,Integrated Freight & Logistics,6,3,0
DORM,Consumer Cyclical,Auto Parts,6,3,0
TRNO,Real Estate,REITÑIndustrial,6,3,0
AWI,Industrials,Building Products & Equipment,6,3,0
FELE,Industrials,Specialty Industrial Machinery,6,3,0
CNXC,Technology,Information Technology Services,6,3,0
UNF,Industrials,Specialty Business Services,6,4,0
NDSN,Industrials,Specialty Industrial Machinery,6,4,0
TFX,Healthcare,Medical Instruments & Supplies,6,4,0
LHCG,Healthcare,Medical Care Facilities,6,4,0
COHR,Technology,Scientific & Technical Instruments,6,4,0
GIFI,Energy,Oil & Gas Equipment & Services,5,0,0
LFT,Real Estate,REITÑMortgage,5,0,0
JHS,Financial Services,Asset Management,5,1,0
SGAMU,Financial Services,Shell Companies,5,1,0
HCKT,Technology,Information Technology Services,5,1,0
SVACU,Financial Services,Shell Companies,5,1,0
TTCFW, , ,5,1,0
HPS,Financial Services,Asset Management,5,1,0
CDZI,Utilities,UtilitiesÑRegulated Water,5,1,0
TIMB,Communication Services,Telecom Services,5,1,1
AEF,Financial Services,Asset Management,5,1,0
MAV,Financial Services,Asset Management,5,1,0
MNTX,Industrials,Farm & Heavy Construction Machinery,5,1,0
PNI,Financial Services,Asset Management,5,1,0
VACQU,Financial Services,Shell Companies,5,1,0
SPOK,Communication Services,Telecom Services,5,1,0
BHSEU,Financial Services,Shell Companies,5,1,0
MRACU,Financial Services,Shell Companies,5,1,1
NAN,Financial Services,Asset Management,5,1,0
YAC,Financial Services,Shell Companies,5,1,0
ORRF,Financial Services,BanksÑRegional,5,1,0
NDMO,,,5,1,0
MTACU,Financial Services,Shell Companies,5,1,1
MYI,Financial Services,Asset Management,5,1,0
BCYPU,Financial Services,Shell Companies,5,1,1
NESR,Energy,Oil & Gas Equipment & Services,5,1,0
ACIC,Financial Services,Shell Companies,5,1,1
NPV,Financial Services,Asset Management,5,1,0
NHICU,Financial Services,Shell Companies,5,1,0
LBC,Financial Services,BanksÑRegional,5,1,0
OTRA,Financial Services,Shell Companies,5,1,0
